14 декабря 2019 г. 03:36:46.940 ОШИБКА:Невозможная операция	({{1,2,3},{5,6,7}} / {7,8,9})
субота, 14, снежня 2019 03:36:58.962 ПАМЫЛКА:Var пераменная не створана	(A=5,3)
14 декабря 2019 г. 03:37:06.774 ОШИБКА:Var переменная не создана	(das)
14 декабря 2019 г. 03:39:58.606 ОШИБКА:Вычитание матриц невозможно - размеры не соответствуют требованиям	({{1,2},{8,3}}-{{2,3,3},{2,3,3}})
14 декабря 2019 г. 03:39:58.630 ОШИБКА:Сложение векторов невозможно - размеры не соответствуют требованиям	({2,3}+{1,2,3})
14 декабря 2019 г. 03:39:58.652 ОШИБКА:Деление на нoль	(3.8/0)
December 14, 2019 03:40:33.131 ERROR:Subtraction of matrix is impossible - the sizes do not match	({{1,2},{8,3}}-{{2,3,3},{2,3,3}})
December 14, 2019 03:40:33.152 ERROR:The addition of vectors is impossible - the sizes do not match	({2,3}+{1,2,3})
December 14, 2019 03:40:33.159 ERROR:Subtraction of vectors is impossible - the sizes do not match	({2,3}-{1,2,3})
December 14, 2019 03:40:33.168 ERROR:Impossible operation	(2/{1,2,3})
December 14, 2019 03:40:33.182 ERROR:Division by zero	(3.8/0)
December 14, 2019 03:40:33.190 ERROR:Var didn't create	(5*incorrect_string)
14 декабря 2019 г. 15:55:00.980 ОШИБКА:Var переменная не создана	({{1,2},{8,3}}-{{2,3,3},{2,3,3}})
14 декабря 2019 г. 15:55:00.986 ОШИБКА:Var переменная не создана	({{1,2},{8,3}}*{{1,2},{8,3}})
14 декабря 2019 г. 15:55:00.998 ОШИБКА:Var переменная не создана	({2,3,4}*2)
14 декабря 2019 г. 15:55:01.006 ОШИБКА:Var переменная не создана	(3.8+26.2)
14 декабря 2019 г. 15:58:10.533 ОШИБКА:Var переменная не создана	(5)
14 декабря 2019 г. 16:00:03.082 ОШИБКА:Вычитание матриц невозможно - размеры не соответствуют требованиям	({{1,2},{8,3}}-{{2,3,3},{2,3,3}})
14 декабря 2019 г. 16:00:03.108 ОШИБКА:Сложение векторов невозможно - размеры не соответствуют требованиям	({2,3}+{1,2,3})
